Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
209,TE,12596,"LaCosse, Matt",NEP,PIT,0,0,0,0,0,0,0,2.79,32,0.08,6
210,WR,13168,"Reynolds, Josh",LAR,CAR,0,0,0,0,0.23,1,0,1.88,25,0.17,6
211,RB,12153,"Yeldon, T.J.",BUF,NYJ,0,0,0,0,3.49,13,0.03,1.81,15,0.09,6
212,WR,11890,"Wilson, Albert",MIA,BAL,0,0,0,0,0.34,1,0,2.44,28,0.11,6
213,WR,12934,"Rogers, Chester",IND,LAC,0,0,0,0,0.03,0,0,2.58,23,0.09,6
214,TE,12263,"Waller, Darren",OAK,DEN,0,0,0,0,0.11,1,0,2.31,31,0.14,6
215,TE,13671,"Andrews, Mark",BAL,MIA,0,0,0,0,0.01,0,0,2.25,34,0.21,6
216,TE,12317,"Uzomah, C.J.",CIN,SEA,0,0,0,0,0,0,0,2.41,25,0.12,6
217,WR,13653,"Foster, Robert",BUF,NYJ,0,0,0,0,0,0,0,1.87,33,0.18,6
218,WR,13418,"Bourne, Kendrick",SFO,TBB,0,0,0,0,0,0,0,2.27,27,0.18,6
219,WR,14113,"Hardman, Mecole",KCC,JAC,0,0,0,0,0.1,1,0,0.84,36,0,5
220,TE,13382,"Seals-Jones, Ricky",ARI,DET,0,0,0,0,0,0,0,1.81,20,0.11,5
221,WR,11758,"Latimer, Cody",NYG,DAL,0,0,0,0,0.04,0,0,1.61,22,0.09,5
222,WR,12785,"Robinson, Demarcus",KCC,JAC,0,0,0,0,0.03,0,0,1.55,22,0.15,5
223,TE,14137,"Fant, Noah",DEN,OAK,0,0,0,0,0,0,0,2.28,24,0.19,5
224,TE,14143,"Knox, Dawson",BUF,NYJ,0,0,0,0,0,0,0,2.16,23,0.09,5
225,WR,14104,"Brown, A.J.",TEN,CLE,0,0,0,0,0.16,0,0,1.89,26,0.04,5
226,RB,11182,"Burkhead, Rex",NEP,PIT,0,0,0,0,5.07,17,0.14,1.41,14,0.05,5
227,TE,12678,"Higbee, Tyler",LAR,CAR,0,0,0,0,0,0,0,1.51,17,0.11,5
228,WR,9884,"Thomas, Demaryius",NEP,PIT,0,0,0,0,0.17,0,0,2.35,24,0.15,5
229,RB,13135,"Gallman, Wayne",NYG,DAL,0,0,0,0,5.89,23,0.08,1.6,10,0,5
230,RB,13136,"Clement, Corey",PHI,WAS,0,0,0,0,3.82,16,0.13,1.12,11,0.03,5
