Rank,ID,Name,Team,Opp,Att,Yards,TDs,Tgt,Rec,Yards,TDs,Fantasy Points
150,13916,"Howell, Buddy",HOU,NOS,0,0,0,0,0,0,0,0
151,13619,"Kelly, John",LAR,CAR,0.23,0,0,0,0,0,0,0
152,13891,"Newsome, Detrez",LAC,IND,0.52,2,0,0,0.04,0,0,0
153,13874,"Wilson, Shaun",WAS,PHI,0.16,1,0,0,0,0,0,0
154,13849,"Nall, Ryan",CHI,GBP,0.1,0,0,0,0,0,0,0
155,13838,"Bawden, Nick",DET,ARI,0.1,0,0,0,0,0,0,0
156,13811,"Smith, Tremon",KCC,JAC,0,0,0,0,0,0,0,0
157,13623,"Williams, Darrel",KCC,JAC,0.89,2,0.05,0,0.1,1,0.01,0
158,12635,"Williams, Jonathan",IND,LAC,0.13,0,0,0,0,0,0,0
159,12040,"Smith, Keith",OAK,DEN,0.05,0,0,0,0.21,1,0,0
160,13615,"Scarbrough, Bo",SEA,CIN,0,0,0,0,0,0,0,0
161,10932,"Bolden, Brandon",NEP,PIT,0.43,2,0.04,0,0.19,1,0.08,0
162,10985,"Olawale, Jamize",DAL,NYG,0,0,0,0,0.01,0,0,0
163,11177,"Barner, Kenjon",ATL,MIN,0.46,1,0,0,0.04,1,0,0
164,13603,"Flowers, Quinton",CIN,SEA,0,0,0,0,0,0,0,0
165,13452,"Edmunds, Trey",PIT,NEP,0,0,0,0,0,0,0,0
166,12627,"Prosise, C.J.",SEA,CIN,0.28,0,0,0,0,0,0,0
167,13616,"Walton, Mark",MIA,BAL,0.4,1,0,0,0.32,1,0.05,0
